product_id,return_count
0aabfb375647d9738ad0f7b4ea3653b1,12
0d85c435fd60b277ffb9e9b0f88f927a,11
d2f5484cbffe4ca766301b21ab9246dd,11
fbce4c4cb307679d89a3bf3d3bb353b9,11
ef66e63137bdd1b2e44aa968646fc1e3,11
812f428f6757ab16c46cffc68f2e90c5,11
16679d68bdbed3fb97af806424d7f2b7,11
b36f3c918c91478c4559160022d3f14e,11
d6fe3b4ddecd4a8393c6a1385de3bfb6,11
54d7ad85b648d3cb2b7069ed446d7f35,11
63de2743d05ab59d85caa49e49459ac1,11
34d6306314a47fe15c1efdbc23302020,11
be0dbdc3d67d55727a65d4cd696ca73c,11
fb01a5fc09b9b9563c2ee41a22f07d54,11
a3daee3915d4fb98376e039ede6bdea6,11
7814c273ab16783d73a9863ebfa8b141,11
595fac2a385ac33a80bd5114aec74eb8,11
617186c3d97ea56c9c683a8a3974e8c1,11
a59fb60fddcc72a9878b7ed5cb69d8e4,11
880be32f4db1d9f6e2bec38fb6ac23ab,11
c857b96593773e940454e76efa8eabb3,11
d2085f7e0f9533605386960fc7e987ec,11
e44f675b60b3a3a2453ec36421e06f0f,11
c1f5307decb89342351bec53668cffd9,11
1bfb290d7273a442c874dbe74b4abae6,10
634256dbcd184b3757ffd7632c9fe52a,10
f35927953ed82e19d06ad3aac2f06353,10
270516a3f41dc035aa87d220228f844c,10
05b515fdc76e888aada3c6d66c201dff,10
c403e106353e1aa40efe783ecb39ed7a,10
97017430754804328eb9597b7f85da03,10
f646af315b0f3a597f69213537ca2199,10
fd0065af7f09af4b82a0ca8f3eed1852,10
473795a355d29305c3ea6b156833adf5,10
53ea9da485f6aed8a6f03a85831fe021,10
7b85e3deef35afd6ebed5461ee8f0641,10
57f2bc497c1a3ebe41ba7a06d78ed159,10
e0cf79767c5b016251fe139915c59a26,10
3713f19c71c4be21ced80738e2fa49bc,10
3e5201fe0d1ba474d9b90152c83c706c,10
9bb8ca338e5588c361e34eae02e8fad6,10
7fb04722aba7a2b632bac8f9819796f3,10
404a57563d487aecbc2b1a01d9b89aab,10
0e1fa2aadc04afbf8fb30200aeba06a2,10
7c68e7297c7df2535c9f0dcd61007f64,10
fb29f48bfea41db52e349454f433340e,10
4cc8bfa581f41841ce5e24aba773a44a,10
0152f69b6cf919bcdaf117aa8c43e5a2,10
64fb265487de2238627ce43fe8a67efc,10
e5989cd466f0714e1439b95bf6a279da,9
16bf176650a888512655cc94f61860e3,9
e251ebd2858be1aa7d9b2087a6992580,9
ecbe1ef7e2903ff8b1d704ba78fa264d,9
29427de7f8a9ee983d9dbc51cec569b4,9
50fd2b788dc166edd20512370dac54df,9
d493f5a208254fe85b3ab55d898461a1,9
d04857e7b4b708ee8b8b9921163edba3,9
cec09725da5ed01471d9a505e7389d37,9
3b0f7951038b105522c2d566b54421f7,9
1613b819ab5dae53aead2dbb4ebdb378,9
25f86162fee18735fffdb762dcb10d7c,9
5d66715cc928aadd0074f61332698593,9
027cdd14a677a5834bc67a9789db5021,9
ee57070aa3b24a06fdd0e02efd2d757d,9
00de7f393d962717eeeb2d7131a40dba,9
3cb39171fd36c50097f2dedbbe0dfe6e,9
827c4a77226a3e7ef259d61eaa775df9,9
a334304f952399f2161225628a9d2891,9
e9a69340883a438c3f91739d14d3a56d,9
f1c7f353075ce59d8a6f3cf58f419c9c,9
145028037adecb27b1a58cf9597676cc,9
5a6e53c3b4e8684b13388d6aa4afdf12,9
78efe838c04bbc568be034082200ac20,9
216bb0e0cd43ffd832e0973d35e0377e,9
76d1a1a9d21ab677a61c3ae34b1b352f,9
017692475c1c954ff597feda05131d73,9
ab1f9387c0627dd24000bfbc54fdeee0,9
ead3077a141a9c800d6a4bb9d0d415b6,9
82c3ea364e5480f335f6743ee725a921,9
2e511b5741ab14e7f5294df6f1310b03,9
cac9e5692471a0700418aa3400b9b2b1,9
2948658cb6abc82847412be7201bfc4c,9
2548af3e6e77a690cf3eb6368e9ab61e,9
98a8c2fa16d7239c606640f5555768e4,9
b4b817e5f2c4efc8253b4b679c653847,9
4413a608a42bd21bbf9d5abbd58c249a,9
a19b6951c75da43aad691622dd2f6abe,9
5b226d7c52f86ac72457617f78cff95d,8
e67307ff0f15ade43fcb6e670be7a74c,8
11875b30b49585209e608f40e8082e65,8
226be9996759442f90f73b7d24c6baff,8
f2a1b32f85cad59ff2a8444154ac25f0,8
45ba26803dbbdb26ec5757546929ac89,8
30ac6df06dc59ad72cf2f158fc2d904c,8
b24af8bca8813bcde4140ff8562f5e47,8
0a4093a4af429dc0a9334300e5c13ae5,8
583f158587cdecda3e8bdea694021e39,8
fb55982be901439613a95940feefd9ee,8
22c5ddc22ea8cae84fc9917def682dc6,8
8338cef8355d238f43711dcb9c0657b2,8
867dda95bbba37fe56fa288449fa122f,8
f4041d76285c2a34ad5013e8d287a400,8
7564c1759c04fc0a38f2aa84f7a370ee,8
c32b1155b886162db8e1ec114699a799,8
727a46f0b58a9ef165af9f7ebcfebfa9,8
cd48f265a63e13b762601f5f794c5fca,8
07c055536ebf10dfbb6c6db6dbfc36e5,8
49eeae59754cbcf1abeeffb8f51184ee,8
c3ba4e8d3cb30049213b682e751e9d00,8
9007d9a8a0d332c61d9dd611fa341f4b,8
acc444eb5ad26f79d5a11baa6a03c439,8
c9c6fde711572c1ad99ca12728c6af00,8
11dcc970f7a5581e1bf777b6da3f7096,8
ba4a91633739ceceb2b73b627e2cfbc3,8
e27e689c4ce425f2fe7e2a270fd4d2db,8
588ea3decc0d8e1d19ce6160c5b0da1b,8
781afe929e3016a667f5f439afd55fce,8
20531b0644a0719b8d506c4db3c56609,8
616042729c11849827291496b18e9ec5,8
e03102efbc2229024c89be731f0aedcb,8
036734b5a58d5d4f46b0616ddc047ced,8
3eee0fd6b877331481b1ca94b2c77319,8
f919da4f716dc149cef4551a322001fd,8
297b52b57d258e1a40202d4f9fb7e38a,8
b9311d581f5f341576a5a2892168355c,8
88dd63919fc9ab693803578a04a20209,8
569ffd16f8032478cbeb9800f2e94ba0,8
d678178aa4291cd25a755a90188375c8,8
5769ef0a239114ac3a854af00df129e4,8
12dc5e5d178b930cf87cf16e812fc2d5,8
93a12c289ca2b78e7069e469f5053ef2,8
f71973c922ccaab05514a36a8bc741b8,8
2b0ee2d07306f7c9ac55a43166e9bb4b,8
952670bc019a73f0933157ec82ff6e4f,8
086351823300e0339f6955b27998c186,8
54d9ac713e253fa1fae9c8003b011c2a,8
054515fd15bc1a2029f10de97ffa9120,8
4cd6ba4ea3112de8fc238307c4dc6307,8
566a4f2c4385f36d15c00dfcaae132d1,8
764292b2b0f73f77a0272be03fdd45f3,8
97f1396a5a1f7c07ba51784efdec44b8,8
914c9e9af640dd56f48764a225b00f89,7
13db47eae724e2848e12b71a617a3a41,7
86c43103446290e7efacad3701cd654d,7
986700c98805af229ab7ad51b95fa356,7
f40876e0ef3cd5f9132b1f16b04b1346,7
08c816d9a716567bf436173ef6f5f12e,7
680874c570dad71c0a2844cfbf417054,7
2ff995aead9c63a1f37a07b3664ead37,7
b40ec43bdfc6d6fdd65e882066a5c895,7
f819f0c84a64f02d3a5606ca95edd272,7
4c1bbc12438daec98a77243c2bf7a3ba,7
3db75f31b76375c502f64d550dcd1166,7
652698dafbccac29d78c7ba70dceef10,7
75c06ee06b201f9b6301d2b5e72993f8,7
2423252b2432f1803e4f29e0974c6cf7,7
cae79e3b5c787c231543fa415a20b5cc,7
4fcb3d9a5f4871e8362dfedbdb02b064,7
